text,l1
"I was working as a cashier in a big company when I was in Saudi Arabia for three
 years and a half. However, it was very good experience to work in that job. You should to do a lot of things and follow the instruction and rules that the company follow it . For example, they didn't accept the checks for the soling parts and it should be certified checks from the bank or cash only. Also you have to be their on time every day because some customers were coming early. In the other hand you should take care of your money and keep it always in save box also you shouldn't leave your place with out telling them where are going to. You should count your money as mach as you can when you are free to check if there is any money missing. You shouldn't use that money for your personal at all. All in all every day you may to do the final daily final repot for your boss and show him how much daily the company had soling. You should to mention and explain how much you receive as checks and how much as cash.",Arabic
"I'll tell you raising a child. When we were a child we need several things. It can be help us to be successful life. First of all, child develops an original idea. I think child should see many things for example, go museum; library, stadium, music hall, and something like that. In my country generally parents didn't bring there. I know children need knowledge, but also they need develop an original idea. Second, preschool education is important. Children learn very quickly, and they remember a long time. In my case when I had taught a child I can remember, for example, song, playing piano, and riding bicycle. Now in my country, children learn English, even though they start 4years old. Third, parents don't let them have unbalanced diet. They try to overcome your likes and dislikes. Their physical strength based on when they was children. Finally, when we were children we based on various experience. We can decide our aptitude easily. Then we can be successful life.",Korean
"Playing Table Tennis Successfully
Table tennis one of the universal sports. A lot of people play it every where. It's the game where we can play it in clubs, schools or even homes. To be a successful table tennis player you have to do two things: first, you have to learn some skills that will help you to do well in this sport. As example of these skills, you have to learn how to hold the pedal which is used to serve the ball. Also, you have to learn how to hold the ball when serving it. Those things must know for playing this sport. The other skill is to learn how to serve the ball to other side. Moreover, you have to know some skills that help to get the better score such as smashing the ball. The second thing that makes you a successful player is to practice these skills that I mention before in this paper. You have to keep practice many times not just one day or two. You have to practice such 1-3 hours a day. So, these things will help you to be a good player and you will win all the games that you will play.",Arabic
"Topic: doing a job
 
 Those who just consider job the method to making money might think that it is not only important to their life but also unrelated to success, especially in the past.. However, as far as I am concerned, it was the job that I think the key of success. This is because happy comes from their job.
 To have a job that people want is one of the important elements. Some people might think that making a lot of money is just crucial in someone's life because money has huge power. For instance, we can buy very expensive car we want, get a valuable gem like a diamond, take trips to wherever we want and also live in beautiful castle if we have enough money to do that. However, you may not deny that you cannot buy happiness even if you have too much money. In the contrary, those who have a job they want could feel much more happiness even though they don't have a lot of money. For example, son of CEO of Hyundai, very rich company in Korea killed himself for a few years ago.",Korean
"Doing a specific Job

 Doing a job for a specific purpose is so wonderful in this life. For example, helping people in the most pauper Islamic occasion AL-Ha'aj ""The pilgrimage"". Pilgrimage is the Islamic occasion comes every year in the Maca city. In this time around 3~4 million of the pilgrimage form all the world, different nationality and different culture came to this city. Maca is a small city located in the western regain of The Kingdom of Saudi Arabia. It is difficult to find your place in this city unless you know this place very well. So a lot of those people ""pilgrimages"" could not find their place easily and they lose. By helping those people I feel success, because they are coming for specific purpose and once I helped them to find and finish their purpose I really feel good and success. I helped them by describe them the Maca city, Mena, Mosdalefh and Arefat places easy direction and the short cut to reached the place. On the other hand, handle some their problem is really great because you see them feel better once you help them.",Arabic
"There are different ways to be successful when you raise a child. In that reason, my way in this time to raise my son is different from my mother's way when she raised me. But, in my opinion, all these ways might work .For example, when I was a child, my mother didn't let me help her in the kitchen to cook or to clean, because she was afraid from a gas, electricity and other tools in the kitchen. So, she thought I will hurt myself if I helped her. In this way, I grow up without any knowledge about cooking. But in different way, she helped me with my homework, and she taught and taught me many things about the real life and to an excellent student. For example, how I can take care of my child, who I can solve many problem in my life. So, she was a successful person as a parent. On other hand, I have different way to raise my son. For example, I want him to help me in the house. For instance, helping me wash the car or helping me do the laundry. So, they will have experience about these things when he lives alone. Finally, I think all the parents should do a lot of thing to raise their children in a good day even in different ways.",Arabic
"Today my friends think of me as a serious student, but they don't know about my ""stupid"" phase. Until two years ago, I thought mostly about clothes and makeup, and I usually judged people by their appearance and possessions. In that period of my life, my friends and I always spoke in stereotype phrases. We said ""Hel-LO"" when something seemed obvious, and ""Whatever"" when we didn't care about something. I never wanted anyone to realize that I was interested in school. Sometimes I read the newspaper secretly and pretended to be unprepared for tests. One day, my older brother came into my room while I was reading a serious novel. No one had ever seen me do that before even though I had been an avid reader for years. He thought I was pretending to be interested in the book in order to impress a new boyfriend, I got angry when he laughed at me, so I made a decision. I stopped hiding my real interests. Since that day, I have carried my new magazines proudly and expressed opinions in class. For the last two years I have prepared for tests openly. Now I am applying for college, and I feel proud of being a good student.",Chinese
"My ""stupid"" phase 

Today my friends think of me as a serious student, but they do not know about my ""stupid"" phase. Until two years ago, I thought mostly about clothes and makeup, and I usually judged people by their appearance and possessions. In that period of my life, my friends and I always spoke in stereotyped phrases. We said ""Hel –LO?"" when something seemed obvious, and ""Whatever"" when we didn't care about something. I never want anyone to realize that I am interested in school. Sometimes I read the newspaper secretly and pretend to be unprepared for testes. One day, my older brother came into my room while I was reading a serious novel. No one had ever seen me do that before even though I had been an avid reader for years. He thought I pretend to be interested in the book in order to impress a new boyfriend. I got angry when he laughed at me, so I made a decision. I stopped hiding my real interests. Since that day, I have carried my news magazines proudly and have expressed opinions in class. For the last two years I have prepared for tests openly. Now I am applying for college, and I feel proud of being a good student.",Chinese
"ANON_NAME_0
 4Q
 09/27/06


 I feel safe at home. My house has many windows in all the rooms and that builds my energy up. The sunshine gives light to my room so being at home never brings me down. I have dark curtains in my room that cover the window up, they block the sunshine out so that I don't wake up as early as the sun rises. I usually wake up feeling happy. I sometimes fix my room up when I need change. I just change the direction of the furniture. I don't like mess so I always tide my stuff. I straighten my bed up every morning. 
 I always switch the music player on when I enter my working room. I can't work without music. Music helps me concentrate more on my work. I watch out for turning the volume down when I work late at night. I always take the mess away my desk when I give breaks. I need to have my coffee before I take my work up. When I'm working on a translation I first write the unknown words down on a piece of paper. After I work on the translation I finally write it up. After I take a short break I come back to my room and go on with the translation. When I get bored at home, which is not very often, I eat out. I ask my friends which I get along well over when I feel lonely.",Turkish
"Today my friends think of me as a serious student, but they don't know about my ""stupid"" phase. Until two years ago, I thought mostly about clothes and makeup, and I usually judged people by their appearance and possessions. In that period of my life, my friends and I always were speaking in stereotyped phrases. We said ""Hel-LO"" when something seemed obvious, and ""Whatever"" when we didn't care about something. I never had wanted anyone to realize that I was interested in school. Sometimes I read the newspaper secretly and pretended to be unprepared for tests. One day, my older brother came into my room while I was reading a serious novel. No one had ever seen me do that before even thought I had been an avid reader for years. He thought I pretended to be interested in the book in order to impress a new boyfriend. I was getting angry when he laughed at me, so I made a decision. I stopped hiding my real interests. Since that day, I have carried my news magazines proudly and expressed opinions on class. For the last two years I have prepared for tests openly. Now I am applying for college, and I feel proud of being a good student.",Chinese
"My"" STUPID ""phase
Today my friends think of me as a serious student, but they don't know about my ""stupid"" phase. Until two years ago, I thought mostly about clothes and makeup, and I usually judged people by their appearance and possessions .In that period of my life ,my friends and I were always speaking in stereotyped phrases. We were saying ""HEL_LO?"" when something seemed obvious ,and ""whatever"" when we didn't care about something. I never wanted anyone to realize that I was interested in school .sometimes I read the newspaper secretly and pretended to be unprepared for tests.
One day, my older brother came into my room while I was reading a serious novel. No one had ever seen me do that before even though I was an avid reader for years. He thought I was pretending to be interested in the book in order to impress a new boyfriend . I got angry when he was laughing at me ,so I made a decision .i stopped hiding my real interests .Since that day ,I have been carrying my news magazines proudly and have been expressing opinions in class .for the last two years I was preparing for tests openly. I'm applying for college ,and I feel proud of being a good student.",Arabic
"We just moved in a new apartment last weekend. I like it and so my wife does. It was unfurnished. Before we moved in, we had planed to fix it up. Because furniture contributes a lot of part of our budget, we look for the garage sell or moving sell from the local advertisments in order to get more furniture in limited money. Last weekend I drove a borrowed van around several communities. Finally, we bought a used table and chairs but can not find an appropriate sofa, so we have planed the next shopping trip. My wife is really eager to possess one.
In addition, we bought 2 new floor lamps to light up the dining area and living room. In the process of furnishing the apartment, I confuse two things why in the bedroom there is no lamp and why the bulbs are small in most of areas except the kitchen and the bathroom because in Taiwan we have the same lumen. Maybe it just means cultural difference.
After straightening our stuff up, we let the originally empty apartment become a lovely home. We have settled ourselves in our own place well and have a comfortable home to go on our American plan.",Chinese
"Today my friends think of me as a serious student, but they don't know about my ""stupid"" phase. Until two years ago, I thought mostly about clothes and makeup, and I usually judged people by their appearance and possessions. In that period of my life, my friends and I always spoke in stereotyped phrases. We said ""Hel-LO?"" when something seemed obvious, and ""Whatever"" when we didn't care about something. I never wanted anyone to realize that I was interested in school. Sometimes I read the newspaper secretly and pretended to be unprepared for tests. One day, my brother came into my room while I was reading a serious novel. No one had ever seen me do that before even though I had been an avid reader for years. He though I was pretending to be interested in the book in order to impress a new boyfriend. I got angry when he laughed at me, so I made a decision. I stopped hiding my real interests. Since that day, I have carried my news magazines proudly and have expressed opinions in class. For the last two years I have prepared for tests openly. Now I am applying for college, and I feel proud of being a good student.",Korean
"<my ""stupid"" phase>
 Today my friends think of me as a serious student, but they don't know about my ""stupid"" phase. Until two years ago, I thought mostly about clothes and makeup, and I usually judged people by their appearance and possessions. In that period of my life, my friends and I always spoke in stereotype phases. We said ""Hel-Lo?"" when something seemed obvious, and ""Whatever"" when we didn't care about something. I never wanted anyone to realize that I was interested in school. Sometimes I read the newspaper secretly and pretended to be unprepared for tests. One day, my older brother came into my room while I was reading a serious novel. No one had ever seen me do that before even though I had been an avid reader for years. He thought I was pretending to be interested in the book in order to impress a new boyfriend. I got angry when he laughed at me, so I made a decision. I stopped hiding my real interests. Since that day, I have carried my news magazines proudly and expressed opinions in class. For the last two years I have prepared for test openly. Now I am applying for college, and I feel proud of being a good student",Korean
"Today my friends think of me as a serious student, but they don't know my ""stupid"" phase. Until two years ago, I hade thought mostly about clothes and makeup, and I usually hade judged people by their appearance and possessions. In that period of my life, my friends and I always spoke in stereotyped phrases. We said ""Hel-LO?"" when something seemed obvious, and ""Whatever"" when we didn't care about something. I never wanted anyone to realize that I was interested in school. Sometimes I read the newspaper secretly and pretended to be unprepared for tests. One say, my older brother came into my room while I was reading a serious novel. No one had ever seen me do that before even though I was an avid reader for years. He thought I was pretending to be interested in the book in order to impress a new boyfriend. I got angry when he laughed at me, so I made a decision. I stopped hiding my real interests. Since that day, I have carried my news magazines proudly and have expressed opinion in class. For the last two years I have been preparing for tests openly. Now I am applying for college, and I feel proud of being a good student.",Korean
"In fact, i prefer victor's parents to take care of children becaue i have many reasons that let them take custod of the children. First of all, even they are old that doesn't matter becaue the only one can control about the death is the god so let's imagin someday lydia or another gaurdian took the custody and he has accident after that what will happen about he children. I recommand victor's parents taking the custody becaue first, they are relative for the children, they have time for them, they have experienced about raising and the important thing the children don't have problem with them. Recently, in my opnion that i don't think victor's brother or lydia's friend could take care of the children becaue all of them have personal problems and life's problems so imagin someone has problem for himself and he can't solve his problems so it is difficult to solve anothers problems that means if you can't take care of your self don't care about another people situation. Therefore, i nominate victor's father becaue they don't have any problem as we have heard about them so far.",Arabic
"
September 28, 2006
Writing 5s

The downtown area of Decasia is rapidly decaying

 
 The downtown area of Decasia is rapidly decaying and the reason 

why is because many of the stores are moving out. Also, some of the 

buildings are unsightly. In addition, the street is in bad shape and 

finally there are several sleazy places have opened up.


 Many of the stores are moving out and especially some elegant places 

such as the Heartland Department Store moved in January 23rd. in 

addition, the Chandler Theater closes down in April 5.


 Some if the buildings are unsightly because of the people who wrote 

words on buildings wholes. Like what happened in the building when 

someone wrote ""The Killers"" in March 3rd.


 The streets are in bad shape like what had been discoverer in June 

15th there were forty potholes are counted in the main street. And also 

in June 3rd the bus service is discontinued.


 There are several sleazy places have open up after the downtown had 

been decaying such as the ""Adult"" movie theater which opened at the 

old Chandler Theater in September 2nd.


 As a conclusion, these events happened after the downtown had been 

decaying.",Arabic
"Topic: My opinion that I have on someone 

 There are several standards can be considered when evaluating a teacher. I thought that teaching English language was required that the teacher spoke clearly and slowly. In the class, (x) is the teacher of English as a second language, but I was surprised that he/she spoke very fast like he was speaking to native students. In addition, I could understand only the main idea from him/ her, so I tried to infer the remaining. At the beginning, I felt that was a wrong way to teach English. However, I changed my mind after a few weeks had passed from the study in order of my personal experience. For instance, after three weeks I could understand many of details, and I heard a lot of words more clearly. In my opinion, it may be better to learn English language in the same way that happens in the street and daily life because that may help student to learn more efficiently.",Arabic
"Korean Subculture: The Red Devils

 Soccer is one of the most popular sports in korea, so the games of the Korean National Soccer Team(KNST) is always popular. There is a groups of people who support to the KNST in korea. The group of people are called ""Red Devils"". The Red Devils always wear a red T-shirts when they cheer the KNST up. You can see the Red Devils when the KNST has a game. They congregate some specific places to cheer the KNST up. For instance, some of them usually congregate the front of city hall of seoul. Sometimes, most korean become the Red Devils when the KNST has a big game like a World Cup game. For instance, millions of people congregate the specific places to cheer the KNST up. The cheer is continued all the game. If the KNST win the game their cheer is also continued all the night, but if the KNST lose the game they go back home. However, before they go back home, they clean their surroundings. It is common in the Red Devils.",Korean
"The quality and quantity of stores, the buildings'outside looking and the streets' shape can discover and comprehend apparently the downtown area of Decasia is rapidly decaying. One of citizen of Decasia recorded and detected the chronicle and report of Decasia of 2005. The first change and alteration we know in his chronicle that some famous and popular stores such as Pose's Giant Boutique mall, Heartland Department Store, Chandler Theater, and Chez Pierre restaurant have closed or moved out to others city. Instead of those stores are some low level stores like pawnshop, ""adult"" movie theater and pornographic bookstore. After that, the quantities of destroyed and dilapidated buildings are increasing in there. Some of them have been painted ""the killers"" on their walls, or destroyed by fire. Furthermore the windows of the old buildings were shattered by stones. Finally, the shape of the main streets can present that the city government hasn't done good policies for their citizens. In the case of Decasia, there are forty potholes more on the Main Street and the bus service has been discontinued. Both examples indicate that the city government has had some problems and obstructions in promoting the city's policies, and they can't solve them.",Chinese
"Topic sentence: The downtown area of Decasia is rapidly decaying after the businesses outward migrating.

Before the area of Decasia was a heartland and a mythical town in Illinois, but now it has changed. Because a new Town Mall shopping center has built, there are many of the stores are moving out to the Town Mall or around it. For example, the Rose's Gaint Boutique and Heartland Department are move to the Town Mall; and Shank's Men's Clothing Stores moves to the Town Mall in the suburbs. So some of the stores lack of business, they have to close down, such as the elegant Chandler Theater and famous Chez Pierre restaurant. Furthermore, some of the buildings are painted unsightly by drawing the bad pictures or words, when the Decasia is gradually degenerating. After that, people are unwilling to come over there. Then the government won't spend money to recover its' streets. The streets are gradually in bad shape by the potholes that make bus service is discontinued. After all of the elegant stories move out or close down, several sleazy places have opened up. For instance, an ""adult""(pornographic) bookstore, an ""adult"" movie theater and a pawnshop have opened. Finally the downtown area of Decasia is rapidly decaying after the businesses outward migrating.",Chinese
"Topic sentence: The downtown area of Decasia is rapidly decaying after the businesses outward migrating.

Before the area of Decasia was a heartland and a mythical town in Illinois, but now it has changed. Because a new Town Mall shopping center has built, there are many of the stores are moving out to the Town Mall or around it. For example, the Rose's Gaint Boutique and Heartland Department are move to the Town Mall; and Shank's Men's Clothing Stores moves to the Town Mall in the suburbs. So some of the stores lack of business, they have to close down, such as the elegant Chandler Theater and famous Chez Pierre restaurant. Furthermore, some of the buildings are painted unsightly by drawing the bad pictures or words, when the Decasia is gradually degenerating. After that, people are unwilling to come over there. Then the government won't spend money to recover its' streets. The streets are gradually in bad shape by the potholes that make bus service is discontinued. After all of the elegant stories move out or close down, several sleazy places have opened up. For instance, an ""adult""(pornographic) bookstore, an ""adult"" movie theater and a pawnshop have opened. Finally the downtown area of Decasia is rapidly decaying after the businesses outward migrating.",Chinese
"I have two best friends Kosuke and Tomohiro in Japan, they are my coworker. We got together when we entered our company. Somebody of them put together us to go to bar and we enjoyed drinking weekend. We have belonged to soccer club since we entered the company, and we practiced playing soccer every Thursday to pick up our skill. When we had a soccer game, we got on someone's car and go to a paying field. Four years age I dislocated my shoulder when we played soccer. When I couldn't do myself in dormitory, I called in them and I could work out by their help. I have watched out not to be injured since then when I play soccer.
Now I belong to ELI soccer team and I keep on soccer practice. I will start over our company soccer club practice with my friends when I go back to Japan.",Japanese
"(Mismanagement)
Sentence: … their would be no question of mismanagement of funds.
Part of speech: noun
Definition: to deal with something. you are in charge of in a way that is not effective or organized.

(Demonstrate)
Sentence: Both Mr. and Mrs. Crowley demonstrate a genuine…
Part of speech: verb
Definition: to show that you have a particular skill, quality, or ability.

(Organize)
Sentence: Victor Crowley was helping to organize a demonstration…
Part of speech: verb
Definition: to plane or arrange something.

(Disagreement)
Sentence: Victor had some very public disagreement on the constructions…
Part of speech: noun
Definition: the state of having a different opinion of something.

(Religious)
Sentence: they didn't want their children to attend religious school…
Part of speech: adjective
Definition: believing strongly in your religion and obeying its rules.

(Obvious)
Sentence: The obvious negative is their ages.
Part of speech: adjective.
Definition: easy to notice or understand.

(Remain)
Sentence: there is some question about how long they will remain so.
Part of speech: verb
Definition: to continue to be in the same state or condition.",Arabic
