text,l1
"Sophistecated:
Today's cars has very sophistecated instruments.

Deceptive:
Computers advertisments are sometimes deceptive and include tricky points.

Accomplish:
By 2010, I will have accomplished my bachelor degree.",Arabic
"Reading 1. 

Word : magazine

JakeTribune is the most popular magazine in Pittsburgh. 


Reading 2. complex 

Word : complex

What a compplex system!


Reading 3. scene

The mountain has z beautiful scene.",Korean
"vote: verb
 We will vote our class monitor. 
 
persevere: verb
 He persevered his principle from beginning to end.

prohibit: verb
 This place was prohibited to enter.",Chinese
"She was happy because she went to a school party last Friday and it was a lot of fun.
She talked with many friend and they are going sightseeing together this weekend.",Korean
"She was happy because she went to a school party last Friday and it was a lot of fun.
She talked with many friend and they are going sightseeing together this weekend.",Korean
"1.The teacher promotes the new activity by low price.
2.Watching TV is a good approach to learn English.
3.This speaker gives us a good illustration to explain his idea.",Chinese
Buy the winter clothes before you came to Pittsburgh because different the weather.The better things befor you came to Pittsburgh learn the law.,Arabic
"Because, It is good way for her to practice writing in English, and to write about my experience here in the U.S.",Korean
"She was so embarrassed on Oct. 20. She thanks that her English isn`t improving faster. \\
Sometimes, She can`t understand her classmate very well.",Korean
"She was happy on Oct. 27. 
She went to a school party. She met new friends. She talked about our country. they are going sightseeing together. 
Also, Kenji who Japanese guy wants me to write for the student newpaper here at school.",Korean
She is a student in United States. She is live in a student residence and she has own room. She is from Japanese.,Arabic
"Because her teacher says it is a good way for me to practice writing in English, and to write about my experiences here in the United States.",Arabic
She is happy because she went to school party last Friday and she talked about her countries and she is going sightseeing with Kenji in weekend.,Arabic
She is a student in United States. She is live in a student residence and she has own room. She is from Japanese.,Arabic
"Because her teacher says it is a good way for me to practice writing in English, and to write about my experiences here in the United States.",Arabic
She is happy because she went to school party last Friday and she talked about her countries and she is going sightseeing with Kenji in weekend.,Arabic
"commercial:
Today there are many methods for commercial on TV.
recruit:
If you lay off your empployy, you should recruit others for your company.
essential:
Usualy a person who focus on an essential idea in the class he don't forget a lot of important details.",Arabic
"1-The two teams got tie scores.
2-The number of smoking people is quite large.
3-The number of smoking overstated in the last 10 years.",Arabic
"1.Learn about languages,cultures,new things,meet different countries friends,be independent.

2.I want to learn language and meet other countries friends.",Chinese
"EMOTIONAL ; THE SPEECH WAS VERY EMOTIONAL.

COPY ; THE ADVERTISMENT IS VERY GOOD BECOUSE OF THE LARGE PHOTO WITH SHORT COPY.

NOTICE ; YOU SHUOLD WRITE YOUR NOTICES DURING YOUR CLASS",Arabic
she is writing a Journal because she is practice writing in English and she write for student newspaper here at school.,Arabic
"EMOTIONAL ; THE SPEECH WAS VERY EMOTIONAL.

COPY ; THE ADVERTISMENT IS VERY GOOD BECOUSE OF THE LARGE PHOTO WITH SHORT COPY.

NOTICE ; WHEN I VISITED PARIS I HAD NOTICED A HUGE NUMBER OF VISITORS",Arabic
"each person can give his opinion about the best invention .



each person can give his belife about the best invention .",Arabic
"I advice you to look to some stuff about it before you come like its weather , its people and how is the best universities in it",Arabic
I advice you to communicate with people and to adapt your self with that actually I do that to let my self I don't miss anyone,Arabic
She wasn't happy because she was embarrassed when someone talked to her in the bus and she said for her self why my English is not improving faster.,Arabic
"She is unhappy.
Because she want to make lots of American friends, but this isn't happning so easily.
And it is hard for her to talk tosome people,
even her classmate.",Korean
"She is happy.
Because she went to a school party last friday and it was a lot of fun. she tolked with a Japanese guy and Italian woman. 
There're going sightseeing together this weekend.",Korean
She is a student in United States. She is live in a student residence and she has own room. She is from Taiwanese.,Arabic
"Because her teacher says it is a good way for me to practice writing in English, and to write about my experiences here in the United States.",Arabic
She is happy because she went to school party last Friday and she talked about her countries and she is going sightseeing with Kenji in weekend.,Arabic
"She was not happy , because on this morning
,a man told with her , but she barely 
understood him , so she was very embarrassed.",Chinese
"She was better than Oct.20 . Because she went to school party on Friday . She told with a Japanese guy , his name is Kenji , he wamts Lily to write for the student newspaper here at school .",Chinese
"1.Learn another language.
2.Learn another culture.
3.Learn more knowledge.
4.Find a good job.
5.To know more people.

1)Because I want to learn good English.
2)The Univercity of Pittsburgh is a world college.",Korean
"When you feel sad or homesick,try to think others,or write about your feelings in a letter send to your friends.",Korean
"Studying in the U.S. is a difficult challenge.

My objective is to get a good score in TOFEL during I study in America.

One of my friend always overstate about what he was, so I don't like him.",Korean
"She is unhappy.
Because she wes on the bus this morning and a man spoke to her, but she barely understood him.",Korean
"She is happy.
Because Kenji wants Lily to write for the student newspaper here at school. Maybe thing are getting better!",Korean
"Unhappy

MY English is hopeless, Iwas on the bus this morning and a man spoke to me , but I barely understood him.",Arabic
"Unhappy

MY English is hopeless, Iwas on the bus this morning and a man spoke to me , but I barely understood him.",Arabic
"my phone have many uniqe featchers
i used to promote for my friend store in SA
the saudi army recrute many people each year",Arabic
"Because her teacher says it is a good way for her to practice writing in English, and to write about her experiences here in the United States.",Chinese
She is unhappy because she can't understand a man speak to her on the bus and can't understand her classmates very well.,Chinese
She is happy because she meets 2 new friends at the party and they will go sightseeing this weekend.,Chinese
"SHE IS WRITING THIS JOURNAL BECAUSE HER TEACHER SAYS IT IS A GOOD WAY FOR HER TO PRACTICE WRITING IN ENGLIH, AND TO WRITE ABOUT HER EXPERIENCES IN UNITED STATES.",Arabic
"Exaggerate
He told me that with out exaggerate.
Interpret
The students were asked to interpret the poem.
Disturb
The letter disturbed me.",Korean
"Her name is Amy. She is my friend.
She is a student in University of pittsburgh.
She is very friendly and out-going.
She smile often that her smile is cute.",Korean
"Her name is Amy my best friend.
She is a student in University of pittsburgh.
She is very friendly,out-going and really nice woman. She smile often that her smile is cute.",Korean
"Because her teacher says it is a good way for you to practice writing in English,and to write about your experiences here in the United States.",Korean
"Lily was unhappy on Oct.20.
Because she doesn't understand to a man spoke to her on the bus that morning.",Korean
"Lily was happy on Oct.27.
Because she talked with a Japanese guy named Kenji,and an Italian woman in a school party last Friday.",Korean
"On yesterday, I visited Andy Wohor Museum in Pittsburgh with Min-Kyu.
I thank that the artist is very singular.",Korean
"Now, there is biggest event in Korea. Chu-Seok is very special day. Become this day, a relation crowded into one place.",Korean
"My friend is always friendly, honest, neat, happy, creative, adventurous and calm. He has short and black hair.
He has black eyes.
He is a nice smile.",Arabic
"I went to school yesterday morning.
Yesterday evening I cooked food, I did homework, I studied, I read book.",Arabic
"Those that change (food,phone,books,travel)and those that will stay the same (tuition,room and board)
Add together all of our expenses.",Korean
"Learning to stick to a budget is not always easy.But for many, it is easier than borrowing money from family or friends inthe middle of a semester.",Korean
"Those that change (food,phone,books,travel)and those that will stay the same (tuition,room and board)
Add together all of our expenses.",Korean
"Learning to stick to a budget is not always easy.But for many, it is easier than borrowing money from family or friends inthe middle of a semester.",Korean
"Those that change (food,phone,books,travel)and those that will stay the same (tuition,room and board)
Add together all of our expenses.",Korean
"Learning to stick to a budget is not always easy.But for many, it is easier than borrowing money from family or friends inthe middle of a semester.",Korean
"My country's University education is very expensive. Most people loan school expenses.
Also we get our family or part-time job, or gain a scholarship.",Korean
"American students pay for tuition, textbook, stationery, room, board, clothes, travel, and other personal expenses.",Korean
"I thank, Korean and American students are a few alike about everything.
 University tuition is expensive in Korea. privite university can cost between $5,000 and $10,000 a year
 In korea, many students have a part-time job for money.
 But, so far most students get the money by their family.",Korean
"Im my country ,a university education is not expensive. so most of parents helps their children pay the tution .",Chinese
"1) The books.
2) The staionery.
3)Housing.
4)Clothes.
5)Travel.
6)Personal expenses like car and cell phone.",Arabic
"The university education in my country for free. 
 
Students get money for their expenses from their family.",Arabic
"1.Undergraduate tuition.
2.Textbooks and stationery.
3.Who live in campus housing,pay for room and board.
4.Add money for clothes and other personal expenses.",Korean
"Yes,it is. Most of students are get money from one's family.But few students are get money from one's part-time job.",Korean
"* College education, textbooks and stationery.
* Add money for clothes, travel and other personal expenses.",Arabic
Expenses Amrican students .First pay for University Scand pay for Textboocks and stationery. Faunly pay for housing add for cloothes and travel and other personal.,Arabic
Expenses Amrican students .First pay for University second pay for Textboocks and stationery. Faunly pay for housing add for cloothes and travel and other personal.,Arabic
"Small student get your money be for your family.
Small student get your money be for a part-time job.",Arabic
"Undergraduate tuition at a public university.
private university.
textbooks and stationery.
live in campus housing.
add clothes,travel,and other personal expenses.",Arabic
"In my country a university education is free.
studets get money for their expenses from the goverment,they pay for the students monthly.",Arabic
"tuition,
that amount rises to private nuiversity,
textbooks and stationery,
room and board, clothes, travel, and other personal expenses.",Korean
"my country is korea.
korean students are almost work part-time for their education.
usually, they are get money by oneself.
and i'm thet way too.",Korean
"Someone interview Lisa,but Lily is a journal.
No,I don't think.Because Lily is learn English,but Lisa is an American,she doesn't need learn English.",Korean
"I don't go to restaurants.
I make meals with my roommates so it's cheaper to eat.
I try to walk or ride my bicle to college.",Arabic
"In this issue of Students Around the world, Young Min Kim interviews an American university student, Lisa Conroy.",Korean
"1. At the start of each semester Lisa`s parents pay $10,000 tuition.
 2. She also get $2,000 in financial aid.
 3. finally, she has a part-time job at a hotal.",Korean
She doesn`t go to restaurants. She makes meals with her roommates so it`s cheaper to eat. she tries to walk or ride her bycycle to college. And she buy a lot of my clothse at second-hand stors.,Korean
"I think two people is similar. Because, Lisa has a plan about expenes, and Lily also has a plan about her life. 
 Both live each plan.",Korean
"Young Min Kim interviews an Aerican university
student - Lisa Conroy.She is a junior at
university in Chicago .",Chinese
"1.Her room and board on compus . 
2.Cell phone , books , transportation and clothes . 
3.Rent videos with her roommates and split
the cost .",Chinese
"She never go to restaurants . she make meals with her roommates.She try to walk
or ride bicycle to college,and buy clothes
at second - hand stores .",Chinese
"Young Min Kim interviews an Aerican university
student - Lisa Conroy.She is a junior at
university in Chicago .",Chinese
"1.Her room and board on compus . 
2.Cell phone , books , transportation and clothes . 
3.Rent videos with her roommates and split
the cost .",Chinese
"She never go to restaurants . she make meals with her roommates.She try to walk
or ride bicycle to college,and buy clothes
at second - hand stores .",Chinese
"*She save money for, she does not go to restaurants, she meals meals your roommates so it is cheaper it eat, she try to walk or ride your bicycle and she pays a lot clothes.",Arabic
"She hardly ever go to the movies.
She doesn't go to restaurants.
She buy a lot of clothes at second-hand stores.",Chinese
"Lily is talking about learning English.
Lisa is talking about how to use the money.
yeah~they both are students.",Chinese
"1) City lights program.
2) Students
3) Relaxation
4) Teach students about the mind-body connection and how to make that connection work in their favor instead of against them.
5) Relaxing music and heating hands
6) Very succeed",Arabic
"Young Min is world young.
Lisa Conroy is American university student and Lisa is twenty-one and a junior at a university in Chicago.",Arabic
"She has a part-time job at a hotel. She is work about twenty hours a week and earn $400. After taxes, and she is make about $320.",Arabic
"She is expenses for every semester are almost $15,000. At the start of each semester parents pay the $10,000 tuition. She also get $2,000 in financial aid. She has to earn the rest myself.",Arabic
She doesn't go to restaurants. She is make meals with roommates. She is try to walk or ride bicycle to college and she is a lot of clothes at second-hand stores.,Arabic
"She pays for her room and board on campus also pays for her things like cell phone,books,transportation,and clothes.",Arabic
She dose not go to restaurants.She make meals with her roommates and she trys to walk or ride bicycle to college and she buys a lot of her clothes at second-hand stores.,Arabic
"She pays for her room and board on campus also pays for her things like cell phone,books,transportation,and clothes.",Arabic
She dose not go to restaurants.She make meals with her roommates and she trys to walk or ride bicycle to college and she buys a lot of her clothes at second-hand stores.,Arabic
"Lisa is twenty-one, and she's a junior at a university in Chicago.
Young Min is interviews an American university student.",Korean
"She doesn't go to restaurants.
She try to walk or ride her bicycle to college.
She buy a lot of her clothes at second-hand.",Korean
"1.owe- She owes five dollars to the grocery.
2.spend- I spend ten dollars at the store.
3.split- The tree split by thunder.
4.earn- I earn money on the side.
5.decent- I need a decent meal.",Korean
"*All the rest of us went there.
*I spend $50 on a new book.
*I split a milk of wine with a friend.
*I owe the bread store fifteen dollars.
*You can found decent meal in the stores.",Korean
Young Min is interviewer an American university student. And Lisa Conroy is interviewee.She is twenty-one and she is a junior at a university in Chicago.,Korean
She make meals with her roommates. She try to walk or ride her bicycle to college. and she buy a lot of her clothes at second-hand.,Korean
Lisa is living with her roommates but Lily has her own room. I think they're students.And each of Lisa and Lily has faithful lifetime.,Korean
"*I buy a decent car.
*He earns $40 a week.
*He is interview on TV
*My friend owes me $300.
*I have rest today.
*I spend $500 for my apartment every month.",Arabic
"1. Decent. I think that basically, people are looking for a decent job.
2. Earn. She earned money by washing cars.
3. Owe. I owe a lot of money to him.
4. Spend. He spends much money.
5. Split. Let's split the cost between us two.",Korean
"Young Min Kim interviews an American university student.
Lisa Conroy is a student at a university in Chicago.",Arabic
"Lisa gets money for her expenses from her parents, financial aid and she has a part time job at a hotel.",Arabic
"They are deferent because Lily's problem is speak English and making friends, but Lisa's problem is her budget.",Arabic
"1.How much do you earn a month?
2.Today,we interview a restaurant boss.
3.He owe the landlord one hundred dollars.
4.She spend more money on the car.
5.He splitting the wood now.",Korean
"I buy used books, it is cheap and decent.
I saw interesting interview in tv last night.
Iowe my frind $100.
Ispend $200 for shopping.
My frind and I split the shick at resturant.",Arabic
"2-
Elena, who was his first wife, was also a writer. 
3-
Pablo Neruda was already famous in Spain and Latin America, when Paz sent him a manuscript.
4-Vuetla, which he received a novel prize, was one of Latin America most famous literary magazines.",Arabic
"He doesn't have decent clothes.
How much do you earn a week?
Don't be late for your interview.
We are going to interview the students.
I still owe for my car.",Chinese
"2. Elena Garro, Whom is a writer, I met.
3. Pablo Nerudo, who was already famous in Spain and Latin America, I colled yesterday.
4. I read the Vuelta which one of Latin America's most famous literary magazines.",Arabic
"1)She has an interview.
2)I spend time with my husband.
3)I have decent living.
4)Alan earns $20,000 a year.
5)I do the rest of my homework.",Arabic
"1)She has an interview.
2)I spend time with my husband.
3)I have decent living.
4)Alan earns $20,000 a year.
5)I do the rest of my homeworks.",Arabic
"She doesn't go to restaurants.
She try to walk or ride her bicycle to college.
She buy a lot of her clothes at second-hand.",Korean
"1- My friend is decent.
2- I need rest after school.
3- My roommate owes to me some money.
4- I am prepared for an interview.
5- I earned enough money.",Arabic
"He earns many car.
I have interview with my father.
I owe my frind a mony.
I went to restroom.
I will spend my mony for my car.",Arabic
"1.He didn't attend the meeting yesterday.
2.I had an early breakfast today.
3.My dog follows me to walk.
4.Last weekend I watched a fashion show of modern art.
5.There are many valuable books in the museum.
6.We discuss of this problem.
7.We had a discussion on languege.",Korean
"He interviews me every month.

I owe money from bank every year.

She spends $15000 every semester for tuition.

My advisor splited students in the begining of the smwster.

There is no decent money for my tuition.",Arabic
"I attend school regularly.
Spring follows winter.
Do you know modern fashions?
I share a room with my friend.
I'm training from my sister.
It's a valuable cellphone.
I discussed politics with then.",Korean
"* I attend my classes every day .
* I go to school early .
* My clothes are modern .
* I share my book with my classmates .
* All my osjects are valuable .
* I will discuss this with my teacher .",Arabic
There are a few students who believe thatspace creature might have visited the Earth but some of students said there are no space creatures. There are many students said space creatures couldn't have affected human culture.,Arabic
The sea could have moved to the sky. The sky might have had a lot of fish. It must have had big fish falling into his yard. The people may have walked slowly when it started raining. It might have had turbles faling but no body have seen them.,Arabic
"1. some believe this sign can tell us about a person`s character.
2. Chinese zodiac describes charcter and can foretell future event.
3. Reading your horoscope can still be a lot of fun.",Korean
"Some believe this sign can tell us about a person's character and can fortell future event.

In the Chinese zodiac, there are twelve animals. A person's animal sign is connected to his or her birth year.",Korean
"Because it was first used to count time.Later,many used the stars to describe a person's character and to say what will happen in the future.",Korean
A person's zodiac sign is connected to his or her birth date.Some believe this sign can tell us about a person's character.,Korean
"In many countries in Asia,people believe the chinese zodiac describes character and can foretell fut ure events .In the chinese zodiac,there are twelve animal .",Arabic
"1)Careful.
2) Friendly.
3)Calm.
4)Serious.
5)Selfish.
6)Independent.
7)Lazy.
8)Honest.
9)Loving.
10)Talkative.",Arabic
Because by studying the stars they created. The zodiac and used the stars to count time. They also learned how to read a person character and tell what will happen in the future.,Arabic
Because its fun to learn about a person character. Many people like to know what will happen in the future.,Arabic
"1- Honest.
2- Calm.
3- Lazy.
4- Loving.
5- Friendly.
6- Adventurous.
7- Smart.
8- Careful.
9- Independent.
10- Serious.",Arabic
Because they can used the stars to describe a person's character and to say what will happen in the future.,Chinese
"TO describe a person's character and to
say what will happen in the future and
can foretell future events .",Chinese
Because it was first used to count time and used to describe a person character and to say what will happen in the future.,Arabic
"First it used to count time. Later, many used the stars to describe a person`s character and to say what will happen in the future.",Arabic
"1- Because people believe the Chinese zodiac describes character and can foretell future events.
2- Some people do not believes that .but reading your horoscope can still be a lot of fun.",Arabic
"1)ANON_NAME_0 is calm.
2)This jacket is ancient.
3)The problem connected with drug abuse.
4)Threr's very serious side to her character.
5)It's hard to describe how Ifeel.
6)He helpa disabled people to lead independent lives.
7)The man is selfish.
8)My friend is serious.
9)The adventure is interesting.
10)ANON_NAME_1 is adventurous.",Arabic
* It is faint. Those with a faint line do not like to be alone. They are often controlled by their emotions,Arabic
* It is same. Palm readers believe that these lines and marks on the hand can tell us something about our personalities.,Arabic
"The line describsd the way a person lives his or her life. A person with a deep Life Line is energetic and competitive. If a person has a faint line, he or she is more of a thinker than a doer.",Korean
This line describes one`s emotions or feelings. A person with a deep heart line is a peacemaker. Family is important to this person. Those with a faint line do not like to ba alone. They are often controlled by their emotions.,Korean
It describes how a person thinks. A person with a long Head Line thinks about thinfs very carefully. Those with a short Head Line are very descrive.,Korean
"A person with a deep Life Line is energetic and competitive.
If a person has a faint Life Lien, he or she is more of thinker than a doer.",Arabic
"A person with a deep Heard Line is a peacemaker, and family is important to this person. A person with a faint Heard Line do not kike to be alone.",Arabic
"A person with a deep Head Line is clever and talkative. 
A person a with faint Head Line are often messy, but very creative.",Arabic
"2 mounth ago, I visited in Toronto in Canada with my friends. We saw nightview in Toronto. It was a eautifull. And next day, we went to Niagara falls. There",Korean
"I have short Head line so I am very decisive. My Head Line also is faint so I am messy, but very creative.",Arabic
"I think I have the all adjictive are belong to the Heart Line, deep or faint line. I am peacemaker .family is important for me. And, I don`t like to be alone, I am often controlled by my emotions so my personality not exactly like what does reading say.",Arabic
"Usually, I study in the home, I think my grammar and word skills are very low. So I must study English very hard. My English skills are improving very slowly. I think English doesn`t improve suddenly, so we must study carefully, and constantly.",Korean
"I invited my friends. we had a party. we drank beer, tolked about somethings. I think, we had a great time.",Korean
"MY head line is long .
It is think about things very carefully ,
and with a deep head line is clever and
talkative .",Chinese
"I think that something is right , but something is wrong . My personality is energetic clever and I am a peacemarker .
But I am a careless and I do not be
along .",Chinese
"I have short Head line so,Iam very decisive.My Head line also is faint so,Iam messy,but very creative.",Arabic
He tried to prove that fast food is the cause of opaicity for America and it can be addictive in addition to its harm.,Arabic
Yes he did. He ate his whole diet from Macdonalds for a month. And show the result. He became addected to it and it harmed his liver function. His wieght increased about 17 bounds as well.,Arabic
yes. because we saw in thr movie how he got sick of eating the fast food and increase of his hypertension and how he cant breath very well and also his body was so hot and gloomy.,Arabic
morgan used his personal experenice to show us that evidence and talking to scintists and organization of health.,Arabic
personal experenice because it shows the real thing that we see what ig going on in his life step by step and that was very persuasive to us.,Arabic
"Morgan try to prove that it is not healthy to eat a lot of fast food, nad the problem is from us not from the companies becuase it is hard for a company to stop a project that gives them a lot of money.",Arabic
"Yes, He proved it. 
This is because he was working with doctors, and known people. His his health was good at first, but after the 30 days he got many problems.",Arabic
"He used many evidences in this monie, and one of them is speaking with children and the people who are studying in schools. On the Other hand, He was working with trustworthy people like some doctors. He asked some people in the streets too.",Arabic
"The evidence that was persuasive for me is Morgan's health. Morgan was in a great health at the first of the movie, but at the end of the 30 days his health was very bad in every thing. Moreover, he was fan on the 30th day.",Arabic
he wants to prove for us he can eat from macdonald's each day three times and show us the affictive on his body and all flouid in his body how it does work,Arabic
"yes, he shows us how can the fast food eater can be addicted on this kind of food by this documentary also he shows us this real movie to let us follow his lifday and we can infrer the positive things and negative things for this kind of food.",Arabic
he asks some experts to help him to be succsful in this project like phisycal examinar and excersising examinar to maure his differently affictve also by helping his girlfriend or his wife.,Arabic
"he use his personal experanince and some statisitics
also he use the truth in everthing what was he doing.",Arabic
"By making a documentary, he tried to let know to people that how fast food is bad foy human's health.",Korean
He participated in very dangerous experiment himself. For 30days he only eat McDonald's food. The resut of experiment certainly shows us the harmness of fast food.,Korean
"This kind of evidence has realrity. As matter of course the experiment was some exggerated, but we could feel scary because we realized that wrong diet can ruin our body. Morgan shows it himself.",Korean
"Neagative. 
The Mcdonald's doesnt care about nutrition of their food and hygiene, only good taste, supply food and Mcdonald's maketing.",Korean
"This documetay has very useful information about diet, especially it make us hesitate to go to Mcdonal's for lunch by showing a serious result from wrong diet. It works !.",Korean
"Trough the documentary, Morgan wanted to try that fast food; especially Mc Donald's diet has negative consequences in our health and weight.",Spanish
"Types of evidence that Morgan used in this movie:
1. Research findings
2. personal experience
3. examples, description",Spanish
"He wants to prove eating fast food a lot is not good for health, he also want to McDonalds 
supply people correct information about food.
He maight also want to people pay more attention on their diet, too.",Chinese
"Health datas, such as his blood pressure, body's fatten rate, weight, etc.Also some of the symptoms happened to him, such as dizzy, insomnia, depression, etc.",Chinese
"compare the meau of McDonald to others restaurants.Find a nutrition list to compare 
with McDonald's food.",Chinese
"Fast food is not good for health, eat too much
fast food will easy to get sick. People should
think about their health befor they choose food.",Chinese
1. Morgan tried to prove that how to danger our food life and environment of foods especially at school for kids.,Korean
"2. He proved it because he had an experiment on a living body by himself. At first time, he was slender and healthy normally, but after he ate Mc's food, he got a high cholesterol, weigh, feel bad, etc.",Korean
"He use personal experience (experiment on living body by himself.),Quotation(experts), example, statistics.",Korean
"he goes to hospital or experts about health and nutrition. at first time he is normal, but his numerical for his body chang like a fatty people.",Korean
"3. I thought it's O.K to eat fast food, but I feel I have to be careful and think about that kinds of foods. when I see the changing his body, I am really surprised.",Korean
"4. This movie will be kind of index of our eating habit because it presents the solution about fatty people especially, for kids who prefer to eat fast food like a Mc's",Korean
"In this documentary, Morgan tries to prove to comstumers and the worlwide how fast food is unhealthy.The excessive consomation of fast food is bad for our health.",French
Yes. He proved it by being a cobaye. He went to a strict diet in which he had only fast food for a month and the result was catastrophic.,French
"Morgan used objective evidences by comparing he health situations before and after the diet, with the monitoring of medical experts.",French
